song_title,artist,genre,id,beatmap_id,date_started,date_ended,accuracy,max_combo_player,max_combo_beatmap,is_perfect_combo,passed,max_great,great,ok,meh,miss,ar,cs,bpm,hit_length,count_circles,count_sliders,count_spinners,difficulty_rating,beatmap_type,played_before
Anoko Secret,Eve,Rock,6176870141,1788240,2026-02-07 00:10:01+08:00,2026-02-07 00:11:48+08:00,90.58,320,643,False,True,458,386,63,2.0,7,9.0,4.0,160.0,100,276,180,2,4.81082,Hybrid,True
Anoko Secret,Eve,Rock,6176913489,1788240,2026-02-07 00:18:35+08:00,2026-02-07 00:20:21+08:00,88.97,185,643,False,True,458,377,59,8.0,14,9.0,4.0,160.0,100,276,180,2,4.81082,Hybrid,True
Rubik's Cube,Hatsune Miku,Rock,6176949608,114635,2026-02-07 00:24:38+08:00,2026-02-07 00:27:31+08:00,88.2,93,1027,False,True,717,592,90,3.0,32,9.0,4.0,174.0,151,470,246,1,5.5304,Hybrid,True
Playing With Fire,kors k,Video Game,6177128241,2015158,2026-02-07 01:00:34+08:00,2026-02-07 01:02:20+08:00,89.57,316,617,False,True,402,337,47,9.0,9,9.0,4.0,160.0,93,262,136,4,4.55318,Tech,False
Koi no Hime Hime Pettanko,*namirin,Anime,6177375094,1053519,2026-02-07 01:48:38+08:00,2026-02-07 01:50:15+08:00,95.68,461,502,False,True,356,330,21,3.0,2,9.0,4.0,178.0,92,213,143,0,4.62552,Jump,True
Electric Angel,Giga-P,Electronic,6177513367,417897,2026-02-07 02:14:10+08:00,2026-02-07 02:17:22+08:00,95.61,413,980,False,True,714,668,37,1.0,8,9.0,4.0,150.0,164,485,227,2,4.68965,Hybrid,True
BRAVER,ZAQ,Anime,6180094928,1547748,2026-02-07 12:53:48+08:00,2026-02-07 12:55:21+08:00,91.33,134,596,False,True,416,360,40,3.0,13,9.1,4.0,188.0,87,255,160,1,5.22997,Hybrid,False
Super Nuko World,yuikonnu & ayaponzu*,Rock,6180118427,476149,2026-02-07 12:58:55+08:00,2026-02-07 13:02:37+08:00,97.5,623,1381,False,True,1015,973,36,2.0,4,9.0,4.0,190.0,205,678,336,1,5.21271,Stream,True
Okochama Sensou,yuikonnu & ayaponzu*,Pop,6180132815,859009,2026-02-07 13:03:38+08:00,2026-02-07 13:07:09+08:00,97.01,698,1241,False,True,808,767,32,5.0,4,9.0,4.0,175.0,194,471,337,0,5.118,Hybrid,False
Yume Chizu,yuikonnu,Rock,6180141783,2237467,2026-02-07 13:08:18+08:00,2026-02-07 13:10:00+08:00,96.97,420,522,False,True,358,340,16,,2,9.2,3.8,176.0,97,209,149,0,5.18903,Jump,True
